[2026-05-13 05:27:15 : INFO] - Cache for URL: https://dysonblog.org/ has been purged, triggered by action: save_post 
[2026-05-14 03:31:43 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-14 03:31:43 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 03:32:09 : INFO] - Cache for URL: https://dysonblog.org/ has been purged, triggered by action: save_post 
[2026-05-14 03:32:09 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: page and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 03:32:13 : INFO] - Cache for URL: https://dysonblog.org/ has been purged, triggered by action: save_post 
[2026-05-14 03:32:13 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: page and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 04:56:10 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 04:56:12 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 04:56:12 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 04:56:12 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 04:56:12 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 04:56:12 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 04:56:26 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 04:56:27 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 04:56:27 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 04:56:27 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 04:56:27 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 04:56:27 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:08:27 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:08:30 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:08:30 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:08:30 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:08:30 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:08:30 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:08:41 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:08:42 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:08:42 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:08:42 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:08:42 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:08:42 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:11:22 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:11:24 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:11:24 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:11:24 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:11:24 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:11:24 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:11:36 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:11:37 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:11:37 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:11:37 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:11:37 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:11:37 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:18:47 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:18:49 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:18:49 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:18:49 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:18:49 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:18:49 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:19:01 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:19:02 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:19:02 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:19:02 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:19:02 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:19:02 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:25:07 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:25:10 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:25:10 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:25:10 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:25:10 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:25:10 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:25:21 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:25:23 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:25:23 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:25:23 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:25:23 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:25:23 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:26:34 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:26:36 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:26:36 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:26:36 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:26:36 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:26:36 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:26:47 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:26:50 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:26:50 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:26:50 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:26:50 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:26:50 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:38:40 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:38:41 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:38:41 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:38:41 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:38:41 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:38:41 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:38:53 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:38:54 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 05:38:54 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:38:54 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 05:38:54 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 05:38:54 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 05:45:38 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:45:41 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-14 05:45:41 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 05:45:41 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 05:45:41 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-14 05:45:41 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 05:45:50 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 05:45:53 : INFO] - Cache for URL: https://dysonblog.org/fintokei-strategy/ has been purged, triggered by action: save_post 
[2026-05-14 05:45:53 : INFO] - Cache for previous post (with URL: https://dysonblog.org/0-level/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 05:45:53 : INFO] - Cache for next post (with URL: https://dysonblog.org/prop-farm/) adjacent to post with id: 55075 has been purged, triggered by action: save_post 
[2026-05-14 05:45:53 : INFO] - Cache for all archives page associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" have been purged, triggered by action: save_post 
[2026-05-14 05:45:53 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "Fintokei(フィントケイ)完全攻略ロードマップ" has been purged, triggered by action: save_post 
[2026-05-14 06:13:13 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:13:15 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:13:15 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:13:15 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:13:15 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 06:13:15 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 06:13:27 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:13:30 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:13:30 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:13:30 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:13:30 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 06:13:30 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 06:14:58 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:15:00 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:15:00 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:15:00 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:15:00 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 06:15:00 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 06:15:11 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:15:13 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:15:13 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:15:13 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:15:13 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 06:15:13 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 06:30:29 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:30:31 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:30:31 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:30:31 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:30:31 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
[2026-05-14 06:30:31 : INFO] - Cache for author page URL: https://dysonblog.org/author/watanabe328/ associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" has been purged, triggered by action: save_post 
[2026-05-14 06:30:42 : INFO] - Cache for multiple term taxonomy have been purged due to post terms update, triggered by action: set_object_terms 
[2026-05-14 06:30:44 : INFO] - Cache for URL: https://dysonblog.org/funded7/ has been purged, triggered by action: save_post 
[2026-05-14 06:30:44 : INFO] - Cache for previous post (with URL: https://dysonblog.org/fintokei-mt5/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:30:44 : INFO] - Cache for next post (with URL: https://dysonblog.org/fx-ai-substack/) adjacent to post with id: 73753 has been purged, triggered by action: save_post 
[2026-05-14 06:30:44 : INFO] - Cache for all archives page associated with post_type: post and Title: "【貴重スキャルOK】次世代プロップファーム「Funded7」を徹底解説！安い・狭スプレッドで選ばれる理由【2026年最新版】" have been purged, triggered by action: save_post 
